INTERVALSTARTTIME_PST,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,LMP_Price_Per_MWh,Wind_MW,Solar_MW,Demand_MW,Fuel_Price,TimeStamp,Year,Month,Day,Hour,Time,Weekday,Weekend
2019-01-01 00:00:00+00:00,2019-01-01 08:00:00+00:00,2019-01-01T09:00:00-00:00,2019-01-01,1,43.0791,1081.59,0.0,22362.14,4.48,2019-01-01 00:00:00+00:00,2019,1,1,0,00:00:00,1,0
2019-01-01 01:00:00+00:00,2019-01-01 09:00:00+00:00,2019-01-01T10:00:00-00:00,2019-01-01,2,41.701859999999996,1073.67,0.0,21443.99,4.48,2019-01-01 01:00:00+00:00,2019,1,1,1,01:00:00,1,0
2019-01-01 02:00:00+00:00,2019-01-01 10:00:00+00:00,2019-01-01T11:00:00-00:00,2019-01-01,3,40.45232,1048.92,0.0,20802.71,4.48,2019-01-01 02:00:00+00:00,2019,1,1,2,02:00:00,1,0
2019-01-01 03:00:00+00:00,2019-01-01 11:00:00+00:00,2019-01-01T12:00:00-00:00,2019-01-01,4,39.73786,1019.2,0.0,20415.67,4.48,2019-01-01 03:00:00+00:00,2019,1,1,3,03:00:00,1,0
2019-01-01 04:00:00+00:00,2019-01-01 12:00:00+00:00,2019-01-01T13:00:00-00:00,2019-01-01,5,40.78106,988.76,0.0,20363.7,4.48,2019-01-01 04:00:00+00:00,2019,1,1,4,04:00:00,1,0
2019-01-01 05:00:00+00:00,2019-01-01 13:00:00+00:00,2019-01-01T14:00:00-00:00,2019-01-01,6,44.089459999999995,937.35,0.0,20780.5,4.48,2019-01-01 05:00:00+00:00,2019,1,1,5,05:00:00,1,0
2019-01-01 06:00:00+00:00,2019-01-01 14:00:00+00:00,2019-01-01T15:00:00-00:00,2019-01-01,7,44.39141,899.47,0.0,21513.3,4.48,2019-01-01 06:00:00+00:00,2019,1,1,6,06:00:00,1,0
2019-01-01 07:00:00+00:00,2019-01-01 15:00:00+00:00,2019-01-01T16:00:00-00:00,2019-01-01,8,41.95308,830.52,86.09,21516.47,4.48,2019-01-01 07:00:00+00:00,2019,1,1,7,07:00:00,1,0
2019-01-01 08:00:00+00:00,2019-01-01 16:00:00+00:00,2019-01-01T17:00:00-00:00,2019-01-01,9,36.31492,716.1,471.45,21355.87,4.48,2019-01-01 08:00:00+00:00,2019,1,1,8,08:00:00,1,0
2019-01-01 09:00:00+00:00,2019-01-01 17:00:00+00:00,2019-01-01T18:00:00-00:00,2019-01-01,10,29.25688,581.77,808.22,20731.49,4.48,2019-01-01 09:00:00+00:00,2019,1,1,9,09:00:00,1,0
2019-01-01 10:00:00+00:00,2019-01-01 18:00:00+00:00,2019-01-01T19:00:00-00:00,2019-01-01,11,22.75204,497.1,861.25,19959.38,4.48,2019-01-01 10:00:00+00:00,2019,1,1,10,10:00:00,1,0
2019-01-01 11:00:00+00:00,2019-01-01 19:00:00+00:00,2019-01-01T20:00:00-00:00,2019-01-01,12,18.92769,448.46,845.01,19616.49,4.48,2019-01-01 11:00:00+00:00,2019,1,1,11,11:00:00,1,0
2019-01-01 12:00:00+00:00,2019-01-01 20:00:00+00:00,2019-01-01T21:00:00-00:00,2019-01-01,13,15.99574,397.55,853.46,19364.46,4.48,2019-01-01 12:00:00+00:00,2019,1,1,12,12:00:00,1,0
2019-01-01 13:00:00+00:00,2019-01-01 21:00:00+00:00,2019-01-01T22:00:00-00:00,2019-01-01,14,14.80555,322.18,876.44,19564.31,4.48,2019-01-01 13:00:00+00:00,2019,1,1,13,13:00:00,1,0
2019-01-01 14:00:00+00:00,2019-01-01 22:00:00+00:00,2019-01-01T23:00:00-00:00,2019-01-01,15,21.78278,232.08,838.21,19899.76,4.48,2019-01-01 14:00:00+00:00,2019,1,1,14,14:00:00,1,0
2019-01-01 15:00:00+00:00,2019-01-01 23:00:00+00:00,2019-01-02T00:00:00-00:00,2019-01-01,16,37.330940000000005,153.95,553.76,20621.09,4.48,2019-01-01 15:00:00+00:00,2019,1,1,15,15:00:00,1,0
2019-01-01 16:00:00+00:00,2019-01-02 00:00:00+00:00,2019-01-02T01:00:00-00:00,2019-01-01,17,46.44689,103.57,146.37,22321.42,4.48,2019-01-01 16:00:00+00:00,2019,1,1,16,16:00:00,1,0
2019-01-01 17:00:00+00:00,2019-01-02 01:00:00+00:00,2019-01-02T02:00:00-00:00,2019-01-01,18,56.279309999999995,80.67,0.21,25909.74,4.48,2019-01-01 17:00:00+00:00,2019,1,1,17,17:00:00,1,0
2019-01-01 18:00:00+00:00,2019-01-02 02:00:00+00:00,2019-01-02T03:00:00-00:00,2019-01-01,19,66.09251,66.73,0.08,26952.74,4.48,2019-01-01 18:00:00+00:00,2019,1,1,18,18:00:00,1,0
2019-01-01 19:00:00+00:00,2019-01-02 03:00:00+00:00,2019-01-02T04:00:00-00:00,2019-01-01,20,61.90635,56.83,0.0,26739.07,4.48,2019-01-01 19:00:00+00:00,2019,1,1,19,19:00:00,1,0
2019-01-01 20:00:00+00:00,2019-01-02 04:00:00+00:00,2019-01-02T05:00:00-00:00,2019-01-01,21,56.06524,52.25,0.0,26209.08,4.48,2019-01-01 20:00:00+00:00,2019,1,1,20,20:00:00,1,0
2019-01-01 21:00:00+00:00,2019-01-02 05:00:00+00:00,2019-01-02T06:00:00-00:00,2019-01-01,22,52.98013,49.87,0.0,25313.07,4.48,2019-01-01 21:00:00+00:00,2019,1,1,21,21:00:00,1,0
2019-01-01 22:00:00+00:00,2019-01-02 06:00:00+00:00,2019-01-02T07:00:00-00:00,2019-01-01,23,49.40651,47.14,0.0,23999.79,4.48,2019-01-01 22:00:00+00:00,2019,1,1,22,22:00:00,1,0
2019-01-01 23:00:00+00:00,2019-01-02 07:00:00+00:00,2019-01-02T08:00:00-00:00,2019-01-01,24,46.85378,43.23,0.0,22494.99,4.48,2019-01-01 23:00:00+00:00,2019,1,1,23,23:00:00,1,0
2019-01-02 00:00:00+00:00,2019-01-02 08:00:00+00:00,2019-01-02T09:00:00-00:00,2019-01-02,1,45.48814,51.59,0.0,22496.32,4.48,2019-01-02 00:00:00+00:00,2019,1,2,0,00:00:00,2,0
2019-01-02 01:00:00+00:00,2019-01-02 09:00:00+00:00,2019-01-02T10:00:00-00:00,2019-01-02,2,44.25229,49.76,0.0,21892.76,4.48,2019-01-02 01:00:00+00:00,2019,1,2,1,01:00:00,2,0
2019-01-02 02:00:00+00:00,2019-01-02 10:00:00+00:00,2019-01-02T11:00:00-00:00,2019-01-02,3,44.02588,44.99,0.0,21502.01,4.48,2019-01-02 02:00:00+00:00,2019,1,2,2,02:00:00,2,0
2019-01-02 03:00:00+00:00,2019-01-02 11:00:00+00:00,2019-01-02T12:00:00-00:00,2019-01-02,4,43.98125,42.2,0.0,21509.31,4.48,2019-01-02 03:00:00+00:00,2019,1,2,3,03:00:00,2,0
2019-01-02 04:00:00+00:00,2019-01-02 12:00:00+00:00,2019-01-02T13:00:00-00:00,2019-01-02,5,45.19421,39.2,0.0,22220.16,4.48,2019-01-02 04:00:00+00:00,2019,1,2,4,04:00:00,2,0
2019-01-02 05:00:00+00:00,2019-01-02 13:00:00+00:00,2019-01-02T14:00:00-00:00,2019-01-02,6,47.12042,34.7,0.0,24072.41,4.48,2019-01-02 05:00:00+00:00,2019,1,2,5,05:00:00,2,0
2019-01-02 06:00:00+00:00,2019-01-02 14:00:00+00:00,2019-01-02T15:00:00-00:00,2019-01-02,7,61.35596999999999,33.42,0.0,26977.52,4.48,2019-01-02 06:00:00+00:00,2019,1,2,6,06:00:00,2,0
2019-01-02 07:00:00+00:00,2019-01-02 15:00:00+00:00,2019-01-02T16:00:00-00:00,2019-01-02,8,58.393330000000006,25.99,87.43,27968.05,4.48,2019-01-02 07:00:00+00:00,2019,1,2,7,07:00:00,2,0
2019-01-02 08:00:00+00:00,2019-01-02 16:00:00+00:00,2019-01-02T17:00:00-00:00,2019-01-02,9,44.539640000000006,18.72,459.99,26972.42,4.48,2019-01-02 08:00:00+00:00,2019,1,2,8,08:00:00,2,0
2019-01-02 09:00:00+00:00,2019-01-02 17:00:00+00:00,2019-01-02T18:00:00-00:00,2019-01-02,10,39.90316,15.23,787.84,25772.44,4.48,2019-01-02 09:00:00+00:00,2019,1,2,9,09:00:00,2,0
2019-01-02 10:00:00+00:00,2019-01-02 18:00:00+00:00,2019-01-02T19:00:00-00:00,2019-01-02,11,37.01815,13.09,848.14,24548.87,4.48,2019-01-02 10:00:00+00:00,2019,1,2,10,10:00:00,2,0
2019-01-02 11:00:00+00:00,2019-01-02 19:00:00+00:00,2019-01-02T20:00:00-00:00,2019-01-02,12,34.95299,11.08,838.66,23631.16,4.48,2019-01-02 11:00:00+00:00,2019,1,2,11,11:00:00,2,0
2019-01-02 12:00:00+00:00,2019-01-02 20:00:00+00:00,2019-01-02T21:00:00-00:00,2019-01-02,13,32.02879,8.88,849.33,23114.05,4.48,2019-01-02 12:00:00+00:00,2019,1,2,12,12:00:00,2,0
2019-01-02 13:00:00+00:00,2019-01-02 21:00:00+00:00,2019-01-02T22:00:00-00:00,2019-01-02,14,31.90405,7.89,881.29,23053.19,4.48,2019-01-02 13:00:00+00:00,2019,1,2,13,13:00:00,2,0
2019-01-02 14:00:00+00:00,2019-01-02 22:00:00+00:00,2019-01-02T23:00:00-00:00,2019-01-02,15,34.80885,10.12,852.69,23292.05,4.48,2019-01-02 14:00:00+00:00,2019,1,2,14,14:00:00,2,0
2019-01-02 15:00:00+00:00,2019-01-02 23:00:00+00:00,2019-01-03T00:00:00-00:00,2019-01-02,16,43.285579999999996,13.63,562.51,24139.07,4.48,2019-01-02 15:00:00+00:00,2019,1,2,15,15:00:00,2,0
2019-01-02 16:00:00+00:00,2019-01-03 00:00:00+00:00,2019-01-03T01:00:00-00:00,2019-01-02,17,54.37445,15.87,144.48,25867.21,4.48,2019-01-02 16:00:00+00:00,2019,1,2,16,16:00:00,2,0
